dataset_state,variable,count,mean,median,mode,min,max,range,variance,std,cv,p25,p50,p75,iqr
raw,BMI,253680,28.382363607694735,27.0,27.0,12.0,98.0,86.0,43.6748390476974,6.608694201406008,0.23284509679152748,24.0,27.0,31.0,7.0
raw,GenHlth,253680,2.5113923052664773,2.0,2.0,1.0,5.0,4.0,1.141643873705667,1.0684773622803934,0.4254521924112609,2.0,2.0,3.0,1.0
raw,MentHlth,253680,3.1847721538946705,0.0,0.0,0.0,30.0,30.0,54.95029614130652,7.412846696196173,2.3275909038362363,0.0,0.0,2.0,2.0
raw,PhysHlth,253680,4.2420805739514345,0.0,0.0,0.0,30.0,30.0,76.0026749942765,8.717951307175127,2.0551121449007477,0.0,0.0,3.0,3.0
raw,Age,253680,8.032119205298013,8.0,9.0,1.0,13.0,12.0,9.328262460492322,3.0542204341684838,0.3802508847420877,6.0,8.0,10.0,4.0
raw,Education,253680,5.050433617155472,5.0,6.0,1.0,6.0,5.0,0.9717507255315295,0.9857741757276509,0.1951860474671209,4.0,5.0,6.0,2.0
raw,Income,253680,6.053874960580258,7.0,8.0,1.0,8.0,7.0,4.289652241272433,2.0711475662715184,0.342119316926394,5.0,7.0,8.0,3.0
cleaned,BMI,253680,28.107247319457585,27.0,27.0,13.5,41.5,28.0,30.937554648998056,5.562153777899174,0.19789037733512613,24.0,27.0,31.0,7.0
cleaned,GenHlth,253680,2.5113923052664773,2.0,2.0,1.0,5.0,4.0,1.141643873705667,1.0684773622803934,0.4254521924112609,2.0,2.0,3.0,1.0
cleaned,MentHlth,253680,1.1752404604225797,0.0,0.0,0.0,5.0,5.0,3.8173308998061106,1.9537990940232597,1.662467520324083,0.0,0.0,2.0,2.0
cleaned,PhysHlth,253680,1.8509243929359824,0.0,0.0,0.0,7.5,7.5,8.3359544275634,2.8872052970932636,1.5598720877590826,0.0,0.0,3.0,3.0
cleaned,Age,253680,8.032119205298013,8.0,9.0,1.0,13.0,12.0,9.328262460492322,3.0542204341684838,0.3802508847420877,6.0,8.0,10.0,4.0
cleaned,Education,253680,5.050433617155472,5.0,6.0,1.0,6.0,5.0,0.9717507255315295,0.9857741757276509,0.1951860474671209,4.0,5.0,6.0,2.0
cleaned,Income,253680,6.053874960580258,7.0,8.0,1.0,8.0,7.0,4.289652241272433,2.0711475662715184,0.342119316926394,5.0,7.0,8.0,3.0
