artifact,relative_path,artifact_type,dataset_or_scope,size_bytes
appliances_energy_cleaned.csv,outputs/cleaned/appliances_energy_cleaned.csv,cleaned_data,appliances_energy,4912790
breast_cancer_cleaned.csv,outputs/cleaned/breast_cancer_cleaned.csv,cleaned_data,breast_cancer,122610
cdc_diabetes_cleaned.csv,outputs/cleaned/cdc_diabetes_cleaned.csv,cleaned_data,cdc_diabetes,13280644
ham10000_metadata_cleaned.csv,outputs/cleaned/ham10000_metadata_cleaned.csv,cleaned_data,ham10000,573293
heart_disease_cleaned.csv,outputs/cleaned/heart_disease_cleaned.csv,cleaned_data,heart_disease,19475
appliances_energy_correlation_heatmap.png,outputs/figures/appliances_energy_correlation_heatmap.png,figure,appliances_energy,131509
appliances_energy_daily_line.png,outputs/figures/appliances_energy_daily_line.png,figure,appliances_energy,166052
appliances_energy_distribution_raw_vs_log.png,outputs/figures/appliances_energy_distribution_raw_vs_log.png,figure,appliances_energy,89221
appliances_energy_target_boxplot.png,outputs/figures/appliances_energy_target_boxplot.png,figure,appliances_energy,40747
breast_cancer_correlation_heatmap.png,outputs/figures/breast_cancer_correlation_heatmap.png,figure,breast_cancer,109771
breast_cancer_radius1_boxplot_by_target.png,outputs/figures/breast_cancer_radius1_boxplot_by_target.png,figure,breast_cancer,32049
breast_cancer_selected_histograms.png,outputs/figures/breast_cancer_selected_histograms.png,figure,breast_cancer,238547
breast_cancer_target_distribution.png,outputs/figures/breast_cancer_target_distribution.png,figure,breast_cancer,33572
cdc_diabetes_BMI_boxplot_by_target.png,outputs/figures/cdc_diabetes_BMI_boxplot_by_target.png,figure,cdc_diabetes,30360
cdc_diabetes_correlation_heatmap.png,outputs/figures/cdc_diabetes_correlation_heatmap.png,figure,cdc_diabetes,105467
cdc_diabetes_selected_histograms.png,outputs/figures/cdc_diabetes_selected_histograms.png,figure,cdc_diabetes,278088
cdc_diabetes_target_distribution.png,outputs/figures/cdc_diabetes_target_distribution.png,figure,cdc_diabetes,33007
ham10000_age_histogram.png,outputs/figures/ham10000_age_histogram.png,figure,ham10000,61565
ham10000_class_distribution.png,outputs/figures/ham10000_class_distribution.png,figure,ham10000,46336
ham10000_image_dimensions_histogram.png,outputs/figures/ham10000_image_dimensions_histogram.png,figure,ham10000,39801
ham10000_localization_bar.png,outputs/figures/ham10000_localization_bar.png,figure,ham10000,61383
ham10000_mean_intensity_boxplot.png,outputs/figures/ham10000_mean_intensity_boxplot.png,figure,ham10000,57497
heart_disease_age_raw_vs_cleaned.png,outputs/figures/heart_disease_age_raw_vs_cleaned.png,figure,heart_disease,86878
heart_disease_age_thalach_scatter.png,outputs/figures/heart_disease_age_thalach_scatter.png,figure,heart_disease,153864
heart_disease_chest_pain_bar.png,outputs/figures/heart_disease_chest_pain_bar.png,figure,heart_disease,41125
heart_disease_cholesterol_boxplot.png,outputs/figures/heart_disease_cholesterol_boxplot.png,figure,heart_disease,39347
heart_disease_correlation_heatmap.png,outputs/figures/heart_disease_correlation_heatmap.png,figure,heart_disease,136265
heart_disease_target_distribution.png,outputs/figures/heart_disease_target_distribution.png,figure,heart_disease,38064
ml_appliances_energy_prediction_sample.png,outputs/figures/ml_appliances_energy_prediction_sample.png,figure,ml,189883
ml_breast_cancer_logistic_regression_confusion_matrix.png,outputs/figures/ml_breast_cancer_logistic_regression_confusion_matrix.png,figure,ml,27115
ml_breast_cancer_random_forest_confusion_matrix.png,outputs/figures/ml_breast_cancer_random_forest_confusion_matrix.png,figure,ml,28194
ml_breast_cancer_svm_rbf_confusion_matrix.png,outputs/figures/ml_breast_cancer_svm_rbf_confusion_matrix.png,figure,ml,24451
ml_cdc_diabetes_sampled_logistic_regression_confusion_matrix.png,outputs/figures/ml_cdc_diabetes_sampled_logistic_regression_confusion_matrix.png,figure,ml,36998
ml_cdc_diabetes_sampled_random_forest_confusion_matrix.png,outputs/figures/ml_cdc_diabetes_sampled_random_forest_confusion_matrix.png,figure,ml,32006
ml_cdc_diabetes_sampled_svm_rbf_confusion_matrix.png,outputs/figures/ml_cdc_diabetes_sampled_svm_rbf_confusion_matrix.png,figure,ml,31164
ml_heart_disease_logistic_regression_confusion_matrix.png,outputs/figures/ml_heart_disease_logistic_regression_confusion_matrix.png,figure,ml,25092
ml_heart_disease_random_forest_confusion_matrix.png,outputs/figures/ml_heart_disease_random_forest_confusion_matrix.png,figure,ml,23961
ml_heart_disease_svm_rbf_confusion_matrix.png,outputs/figures/ml_heart_disease_svm_rbf_confusion_matrix.png,figure,ml,22142
appliances_energy_analysis.log,outputs/logs/appliances_energy_analysis.log,log,appliances_energy,146
ham10000_analysis.log,outputs/logs/ham10000_analysis.log,log,ham10000,260
ham10000_prepare.log,outputs/logs/ham10000_prepare.log,log,ham10000,192
heart_disease_analysis.log,outputs/logs/heart_disease_analysis.log,log,heart_disease,600
ml_baselines.log,outputs/logs/ml_baselines.log,log,ml,956
tabular_health_analysis.log,outputs/logs/tabular_health_analysis.log,log,tabular_health,140
uci_dataset_download.log,outputs/logs/uci_dataset_download.log,log,uci_dataset,3038
appliances_energy_missing_values.csv,outputs/tables/appliances_energy_missing_values.csv,table,appliances_energy,402
appliances_energy_summary.csv,outputs/tables/appliances_energy_summary.csv,table,appliances_energy,2252
appliances_energy_time_info.csv,outputs/tables/appliances_energy_time_info.csv,table,appliances_energy,112
breast_cancer_frequency_Diagnosis.csv,outputs/tables/breast_cancer_frequency_Diagnosis.csv,table,breast_cancer,102
breast_cancer_missing_values.csv,outputs/tables/breast_cancer_missing_values.csv,table,breast_cancer,1054
breast_cancer_summary.csv,outputs/tables/breast_cancer_summary.csv,table,breast_cancer,2364
breast_cancer_variable_types.csv,outputs/tables/breast_cancer_variable_types.csv,table,breast_cancer,1900
cdc_diabetes_frequency_AnyHealthcare.csv,outputs/tables/cdc_diabetes_frequency_AnyHealthcare.csv,table,cdc_diabetes,111
cdc_diabetes_frequency_CholCheck.csv,outputs/tables/cdc_diabetes_frequency_CholCheck.csv,table,cdc_diabetes,107
cdc_diabetes_frequency_Diabetes_binary.csv,outputs/tables/cdc_diabetes_frequency_Diabetes_binary.csv,table,cdc_diabetes,113
cdc_diabetes_frequency_DiffWalk.csv,outputs/tables/cdc_diabetes_frequency_DiffWalk.csv,table,cdc_diabetes,106
cdc_diabetes_frequency_Education.csv,outputs/tables/cdc_diabetes_frequency_Education.csv,table,cdc_diabetes,222
cdc_diabetes_frequency_Fruits.csv,outputs/tables/cdc_diabetes_frequency_Fruits.csv,table,cdc_diabetes,104
cdc_diabetes_frequency_HeartDiseaseorAttack.csv,outputs/tables/cdc_diabetes_frequency_HeartDiseaseorAttack.csv,table,cdc_diabetes,118
cdc_diabetes_frequency_HighBP.csv,outputs/tables/cdc_diabetes_frequency_HighBP.csv,table,cdc_diabetes,104
cdc_diabetes_frequency_HighChol.csv,outputs/tables/cdc_diabetes_frequency_HighChol.csv,table,cdc_diabetes,106
cdc_diabetes_frequency_HvyAlcoholConsump.csv,outputs/tables/cdc_diabetes_frequency_HvyAlcoholConsump.csv,table,cdc_diabetes,115
cdc_diabetes_frequency_NoDocbcCost.csv,outputs/tables/cdc_diabetes_frequency_NoDocbcCost.csv,table,cdc_diabetes,109
cdc_diabetes_frequency_PhysActivity.csv,outputs/tables/cdc_diabetes_frequency_PhysActivity.csv,table,cdc_diabetes,109
cdc_diabetes_frequency_Sex.csv,outputs/tables/cdc_diabetes_frequency_Sex.csv,table,cdc_diabetes,101
cdc_diabetes_frequency_Smoker.csv,outputs/tables/cdc_diabetes_frequency_Smoker.csv,table,cdc_diabetes,105
cdc_diabetes_frequency_Stroke.csv,outputs/tables/cdc_diabetes_frequency_Stroke.csv,table,cdc_diabetes,103
cdc_diabetes_frequency_Veggies.csv,outputs/tables/cdc_diabetes_frequency_Veggies.csv,table,cdc_diabetes,102
cdc_diabetes_missing_values.csv,outputs/tables/cdc_diabetes_missing_values.csv,table,cdc_diabetes,701
cdc_diabetes_summary.csv,outputs/tables/cdc_diabetes_summary.csv,table,cdc_diabetes,1793
cdc_diabetes_variable_types.csv,outputs/tables/cdc_diabetes_variable_types.csv,table,cdc_diabetes,941
ham10000_age_summary.csv,outputs/tables/ham10000_age_summary.csv,table,ham10000,115
ham10000_dataset_summary.csv,outputs/tables/ham10000_dataset_summary.csv,table,ham10000,188
ham10000_frequency_dx.csv,outputs/tables/ham10000_frequency_dx.csv,table,ham10000,251
ham10000_frequency_dx_type.csv,outputs/tables/ham10000_frequency_dx_type.csv,table,ham10000,184
ham10000_frequency_localization.csv,outputs/tables/ham10000_frequency_localization.csv,table,ham10000,543
ham10000_frequency_sex.csv,outputs/tables/ham10000_frequency_sex.csv,table,ham10000,138
ham10000_image_feature_sample.csv,outputs/tables/ham10000_image_feature_sample.csv,table,ham10000,71321
heart_disease_evidence_index.csv,outputs/tables/heart_disease_evidence_index.csv,table,heart_disease,2689
heart_disease_frequency_cp.csv,outputs/tables/heart_disease_frequency_cp.csv,table,heart_disease,153
heart_disease_frequency_exang.csv,outputs/tables/heart_disease_frequency_exang.csv,table,heart_disease,101
heart_disease_frequency_fbs.csv,outputs/tables/heart_disease_frequency_fbs.csv,table,heart_disease,98
heart_disease_frequency_num.csv,outputs/tables/heart_disease_frequency_num.csv,table,heart_disease,171
heart_disease_frequency_restecg.csv,outputs/tables/heart_disease_frequency_restecg.csv,table,heart_disease,132
heart_disease_frequency_sex.csv,outputs/tables/heart_disease_frequency_sex.csv,table,heart_disease,98
heart_disease_frequency_slope.csv,outputs/tables/heart_disease_frequency_slope.csv,table,heart_disease,131
heart_disease_frequency_thal.csv,outputs/tables/heart_disease_frequency_thal.csv,table,heart_disease,153
heart_disease_missing_values.csv,outputs/tables/heart_disease_missing_values.csv,table,heart_disease,242
heart_disease_preprocessing_comparison.csv,outputs/tables/heart_disease_preprocessing_comparison.csv,table,heart_disease,781
heart_disease_summary.csv,outputs/tables/heart_disease_summary.csv,table,heart_disease,1750
heart_disease_variable_types.csv,outputs/tables/heart_disease_variable_types.csv,table,heart_disease,858
local_dataset_inventory.csv,outputs/tables/local_dataset_inventory.csv,table,local_dataset,585
ml_appliances_energy_predictions.csv,outputs/tables/ml_appliances_energy_predictions.csv,table,ml,488422
ml_baseline_metrics.csv,outputs/tables/ml_baseline_metrics.csv,table,ml,1437
ml_classification_metrics.csv,outputs/tables/ml_classification_metrics.csv,table,ml,1155
ml_regression_metrics.csv,outputs/tables/ml_regression_metrics.csv,table,ml,288
tabular_health_analysis_index.csv,outputs/tables/tabular_health_analysis_index.csv,table,tabular_health,197
