newid,topics,primary_topic,word_count,char_count
1,cocoa,cocoa,541,2813
2,,NO_TOPIC,81,469
3,,NO_TOPIC,62,359
4,,NO_TOPIC,474,2829
5,grain;wheat;corn;barley;oat;sorghum,grain,178,837
6,veg-oil;linseed;lin-oil;soy-oil;sun-oil;soybean;oilseed;corn;sunseed;grain;sorghum;wheat,veg-oil,250,1186
7,,NO_TOPIC,80,464
8,,NO_TOPIC,104,590
9,earn,earn,66,378
10,acq,acq,221,1310
11,earn,earn,67,302
12,earn;acq,earn,143,814
13,earn,earn,136,606
14,earn,earn,55,207
15,,NO_TOPIC,110,663
16,,NO_TOPIC,472,2823
17,,NO_TOPIC,65,427
18,earn,earn,253,1426
19,wheat;grain,wheat,95,547
20,,NO_TOPIC,105,643
21,,NO_TOPIC,73,482
22,copper,copper,38,198
23,earn,earn,220,1178
24,earn,earn,83,383
25,,NO_TOPIC,53,349
26,,NO_TOPIC,300,1773
27,earn,earn,86,389
28,,NO_TOPIC,713,4403
29,housing,housing,107,594
30,money-supply,money-supply,14,70
31,,NO_TOPIC,15,74
32,,NO_TOPIC,189,1206
33,,NO_TOPIC,60,334
34,,NO_TOPIC,70,420
35,,NO_TOPIC,52,313
36,earn,earn,24,120
37,earn,earn,79,358
38,earn,earn,70,246
39,,NO_TOPIC,107,600
40,earn,earn,102,571
41,earn,earn,102,444
42,coffee,coffee,98,631
43,,NO_TOPIC,103,613
44,acq;ship,acq,89,543
45,acq,acq,391,2305
46,sugar,sugar,121,697
47,trade,trade,203,1188
48,reserves,reserves,51,278
49,ship,ship,83,443
50,earn,earn,44,260
51,,NO_TOPIC,111,643
52,,NO_TOPIC,31,202
53,earn,earn,20,105
54,,NO_TOPIC,554,3082
55,,NO_TOPIC,189,1206
56,earn,earn,185,1045
57,grain;corn,grain,98,557
58,money-supply,money-supply,79,411
59,ship,ship,220,1242
60,,NO_TOPIC,197,1171
61,,NO_TOPIC,274,1631
62,,NO_TOPIC,87,467
63,,NO_TOPIC,100,647
64,earn,earn,57,315
65,earn,earn,64,249
66,earn,earn,96,411
67,,NO_TOPIC,45,360
68,acq,acq,56,379
69,veg-oil;soybean;oilseed;meal-feed;soy-meal,veg-oil,121,635
70,,NO_TOPIC,140,802
71,earn,earn,21,117
72,,NO_TOPIC,43,247
73,,NO_TOPIC,38,193
74,earn,earn,124,559
75,coffee,coffee,79,541
76,money-supply,money-supply,14,65
77,money-supply,money-supply,14,62
78,money-supply,money-supply,13,67
79,,NO_TOPIC,723,4209
80,money-supply,money-supply,81,474
81,money-supply,money-supply,106,583
82,earn,earn,85,439
83,earn,earn,48,274
84,,NO_TOPIC,109,570
85,earn,earn,21,112
86,earn,earn,20,96
87,earn,earn,42,215
88,,NO_TOPIC,84,474
89,earn,earn,20,114
90,,NO_TOPIC,86,564
91,,NO_TOPIC,58,387
92,money-supply,money-supply,17,69
93,earn,earn,52,246
94,money-supply,money-supply,15,75
95,money-supply,money-supply,17,73
96,acq,acq,79,417
97,grain;wheat;corn;oat;rye;sorghum;soybean;oilseed,grain,360,1695
98,earn,earn,66,277
99,money-supply,money-supply,0,0
100,money-supply,money-supply,100,518
101,money-supply,money-supply,0,0
102,money-supply,money-supply,0,0
103,money-supply,money-supply,0,0
104,cotton,cotton,149,837
105,sugar,sugar,237,1248
106,grain;ship,grain,27,169
107,,NO_TOPIC,274,1626
108,earn,earn,22,116
109,money-supply,money-supply,469,2596
110,acq,acq,600,3602
111,money-supply,money-supply,112,537
112,,NO_TOPIC,56,408
113,earn,earn,84,481
114,,NO_TOPIC,56,335
115,,NO_TOPIC,92,494
116,,NO_TOPIC,52,322
117,,NO_TOPIC,98,546
118,,NO_TOPIC,46,303
119,,NO_TOPIC,46,275
120,,NO_TOPIC,73,458
121,carcass;livestock,carcass,119,655
122,,NO_TOPIC,57,328
123,earn,earn,129,749
124,grain,grain,80,422
125,acq,acq,113,632
126,earn,earn,63,251
127,crude,crude,101,555
128,acq,acq,44,279
129,earn,earn,8,49
130,earn,earn,156,899
131,,NO_TOPIC,74,412
132,money-supply,money-supply,0,0
133,money-supply,money-supply,0,0
134,acq,acq,44,274
135,acq,acq,114,656
136,grain,grain,250,1524
137,,NO_TOPIC,382,2341
138,earn,earn,71,304
139,earn,earn,19,98
140,earn,earn,62,290
141,,NO_TOPIC,226,1230
142,earn,earn,32,149
143,earn,earn,21,106
144,crude,crude,460,2629
145,earn,earn,210,1030
146,earn,earn,46,258
147,earn,earn,86,505
148,,NO_TOPIC,66,368
149,,NO_TOPIC,99,568
150,,NO_TOPIC,88,539
151,earn,earn,57,242
152,earn,earn,21,123
153,acq,acq,109,636
154,,NO_TOPIC,45,315
155,,NO_TOPIC,77,515
156,,NO_TOPIC,86,531
157,acq,acq,154,882
158,,NO_TOPIC,55,388
159,,NO_TOPIC,92,549
160,earn,earn,87,388
161,,NO_TOPIC,118,609
162,acq,acq,40,274
163,earn,earn,20,108
164,earn,earn,66,273
165,earn,earn,25,141
166,earn,earn,20,103
167,earn,earn,65,314
168,earn,earn,44,260
169,earn,earn,86,344
170,,NO_TOPIC,71,440
171,,NO_TOPIC,17,90
172,,NO_TOPIC,171,1002
173,,NO_TOPIC,47,281
174,,NO_TOPIC,114,623
175,,NO_TOPIC,291,1827
176,nat-gas,nat-gas,301,1889
177,,NO_TOPIC,523,3075
178,,NO_TOPIC,445,2647
179,cpi;gnp,cpi,505,3014
180,grain;wheat,grain,428,2558
181,,NO_TOPIC,329,2040
182,,NO_TOPIC,95,549
183,earn,earn,56,211
184,,NO_TOPIC,37,253
185,acq,acq,39,256
186,acq,acq,31,189
187,earn,earn,56,238
188,,NO_TOPIC,91,522
189,crude,crude,16,85
190,,NO_TOPIC,293,1838
191,crude,crude,63,363
192,,NO_TOPIC,268,1480
193,grain;corn,grain,134,782
194,crude,crude,77,427
195,,NO_TOPIC,219,1295
196,earn,earn,30,124
197,grain;corn;oat,grain,147,830
198,money-supply,money-supply,211,1028
199,acq,acq,104,559
200,veg-oil;oilseed;meal-feed;soybean;soy-oil;soy-meal,veg-oil,472,2706
201,earn,earn,62,235
202,earn,earn,89,368
203,money-supply,money-supply,626,3618
204,,NO_TOPIC,52,291
205,,NO_TOPIC,187,1157
206,,NO_TOPIC,123,693
207,,NO_TOPIC,119,672
208,,NO_TOPIC,212,1194
209,cpi;gnp,cpi,719,4358
210,earn,earn,122,534
211,crude,crude,100,585
212,earn,earn,88,403
213,cpi,cpi,180,996
214,earn,earn,125,706
215,,NO_TOPIC,83,532
216,money-supply,money-supply,0,0
217,,NO_TOPIC,108,624
218,,NO_TOPIC,197,1160
219,,NO_TOPIC,216,1304
220,money-supply,money-supply,183,1136
221,money-fx;interest,money-fx,178,888
222,,NO_TOPIC,110,655
223,,NO_TOPIC,725,4434
224,,NO_TOPIC,109,606
225,interest,interest,298,1716
226,,NO_TOPIC,89,560
227,gnp;bop,gnp,422,2574
228,grain;rice,grain,101,588
229,soybean;red-bean;oilseed,soybean,234,1217
230,,NO_TOPIC,358,2166
231,,NO_TOPIC,107,677
232,coffee,coffee,454,2790
233,interest,interest,137,749
234,,NO_TOPIC,215,1255
235,grain;wheat;rice;veg-oil;soybean;sugar;rubber;copra-cake;corn;palm-oil;palmkernel;coffee;tea;plywood;soy-meal;cotton,grain,492,2768
236,crude,crude,480,2759
237,crude,crude,443,2740
238,,NO_TOPIC,410,2539
239,,NO_TOPIC,98,554
240,,NO_TOPIC,358,2166
241,grain;wheat,grain,89,540
242,crude,crude,173,943
243,,NO_TOPIC,96,586
244,,NO_TOPIC,98,650
245,,NO_TOPIC,105,656
246,crude,crude,351,2106
247,money-fx,money-fx,478,3044
248,crude,crude,364,2069
249,coffee,coffee,149,954
250,,NO_TOPIC,83,482
251,,NO_TOPIC,104,580
252,,NO_TOPIC,286,1728
253,grain;wheat,grain,80,500
254,grain;wheat,grain,116,593
255,,NO_TOPIC,81,482
256,money-fx,money-fx,211,1268
257,,NO_TOPIC,207,1195
258,,NO_TOPIC,98,576
259,sugar,sugar,155,919
260,acq,acq,166,903
261,,NO_TOPIC,14,77
262,,NO_TOPIC,100,631
263,,NO_TOPIC,401,2417
264,,NO_TOPIC,293,1576
265,,NO_TOPIC,169,934
266,,NO_TOPIC,192,1154
267,meal-feed;copra-cake,meal-feed,92,533
268,,NO_TOPIC,37,200
269,,NO_TOPIC,226,1348
270,,NO_TOPIC,310,1774
271,trade,trade,116,598
